time,pressure[hPa],temperature[℃],humidity[%]
750.699761152,988.27,24.55,69.28
755.705258131,988.36,24.55,69.26
760.707988977,988.28,24.55,69.4
765.711593151,988.28,24.55,69.45
770.716014147,988.28,24.56,69.44
775.719588041,988.27,24.56,69.44
780.725175142,988.33,24.56,69.42
785.727671146,988.27,24.56,69.39
790.733294964,988.29,24.57,69.37
795.735682011,988.36,24.57,69.39
800.739699125,988.34,24.57,69.4
805.745304108,988.33,24.56,69.4
810.747610092,988.33,24.57,69.39
815.753201962,988.31,24.56,69.4
820.75880003,988.33,24.56,69.4
825.764397144,988.33,24.58,69.4
830.770030975,988.36,24.57,69.4
835.775352955,988.34,24.57,69.4
840.78095293,988.31,24.57,69.39
845.783973932,988.34,24.58,69.39
850.788000107,988.3,24.57,69.38
855.793596983,988.37,24.57,69.39
860.799248934,988.34,24.58,69.39
865.804075003,988.36,24.59,69.38
870.808728933,988.37,24.59,69.38
875.81437993,988.32,24.58,69.44
880.819996119,988.36,24.59,69.45
885.825632095,988.38,24.59,69.45
890.827559948,988.35,24.6,69.46
895.831730127,988.38,24.6,69.45
900.835937977,988.33,24.6,69.45
905.841576099,988.34,24.6,69.48
910.843652964,988.34,24.6,69.48
915.847618103,988.34,24.6,69.5
920.853203058,988.39,24.61,69.5
925.858825922,988.35,24.61,69.48
930.864465952,988.35,24.62,69.56
935.8700881,988.39,24.61,69.57
940.87570405,988.35,24.63,69.55
945.881330967,988.32,24.63,69.57
950.886888981,988.27,24.63,69.58
955.89250493,988.39,24.64,69.55
960.897984982,988.34,24.64,69.55
965.903627157,988.34,24.64,69.55
970.909255028,988.35,24.64,69.56
975.914879084,988.31,24.64,69.59
980.920105934,988.34,24.64,69.6
985.925352097,988.28,24.65,69.56
990.93098712,988.36,24.65,69.59
995.936639071,988.27,24.64,69.58
1000.93961501,988.35,24.65,69.55
1005.94387698,988.38,24.66,69.55
1010.94788194,988.32,24.65,69.55
1015.95349908,988.3,24.66,69.56
1020.95901299,988.37,24.65,69.59
1025.96462703,988.36,24.65,69.59
1030.96989298,988.31,24.66,69.59
1035.975384,988.38,24.66,69.58
1040.98104215,988.37,24.65,69.58
1045.98664093,988.34,24.66,69.58
1050.99174213,988.34,24.66,69.57
1055.99705815,988.32,24.66,69.57
1060.99961996,988.37,24.65,69.59
1066.00400114,988.36,24.66,69.58
1071.00963116,988.38,24.66,69.58
1076.01527214,988.38,24.67,69.58
1081.02089405,988.41,24.66,69.6
1086.02655697,988.32,24.66,69.62
1091.03222394,988.37,24.66,69.63
1096.03781295,988.32,24.66,69.63
1101.04338408,988.35,24.66,69.65
1106.04899001,988.32,24.66,69.66
1111.05451298,988.32,24.66,69.67
1116.05959606,988.35,24.66,69.69
1121.0639801,988.32,24.67,69.7
1126.06953502,988.39,24.67,69.7
1131.07162404,988.33,24.67,69.69
1136.07720995,988.33,24.67,69.73
1141.08284998,988.31,24.67,69.72
1146.08850813,988.28,24.67,69.73
1151.09414315,988.33,24.67,69.74
1156.09982395,988.37,24.67,69.77
1161.10545897,988.37,24.68,69.79
1166.11109114,988.29,24.68,69.79
1171.11672592,988.35,24.67,69.79
1176.12236309,988.23,24.68,69.8
1181.12802315,988.3,24.68,69.8
1186.13367414,988.33,24.68,69.8
1191.13931704,988.36,24.69,69.81
1196.14495897,988.31,24.69,69.82
1201.15060902,988.37,24.69,69.82
1206.15600896,988.31,24.68,69.82
1211.16165209,988.36,24.67,69.96
1216.16401315,988.33,24.67,70.02
1221.16963911,988.31,24.68,70.01
1226.17527103,988.3,24.69,70.03
1231.18090701,988.31,24.69,70
1236.18654299,988.34,24.69,69.99
1241.19222212,988.31,24.69,69.97
1246.19786596,988.26,24.69,69.94
1251.20352793,988.37,24.68,69.95
1256.20916414,988.36,24.69,69.95
1261.21481395,988.31,24.69,69.95
1266.22045302,988.29,24.7,69.95
1271.22608614,988.28,24.7,69.94
1276.23174214,988.34,24.7,69.95
1281.23738003,988.34,24.7,69.94
1286.24301505,988.31,24.7,69.96
1291.24864602,988.34,24.7,69.96
1296.254287,988.34,24.7,70.02
1301.25992513,988.34,24.7,70.04
1306.2655561,988.34,24.71,70.05
1311.26760793,988.38,24.71,70.04
1316.27164197,988.32,24.71,70.01
1321.27727604,988.29,24.71,70.01
1326.28289413,988.37,24.72,70.01
1331.28788209,988.33,24.71,70.02
1336.2935071,988.32,24.71,70.03
1341.29913902,988.32,24.73,70.04
1346.30457211,988.29,24.71,70.02
1351.31020403,988.3,24.71,70.03
1356.31587195,988.3,24.71,70.03
1361.32111692,988.32,24.72,70.04
1366.32672501,988.33,24.73,70.05
1371.332371,988.34,24.73,70.04
1376.33781099,988.34,24.72,70.01
1381.34341192,988.31,24.74,70.02
1386.34796596,988.3,24.74,70
1391.35347509,988.33,24.74,70.01
1396.35913014,988.36,24.74,70
1401.36474109,988.39,24.74,70.01
1406.37038207,988.27,24.73,70
1411.37602997,988.29,24.74,70.01
1416.38168907,988.33,24.74,70
1421.38733411,988.33,24.73,70.02
1426.39299393,988.32,24.74,70.04
1431.39857101,988.36,24.74,70.07
1436.40393114,988.33,24.74,70.07
1441.40953708,988.36,24.74,70.09
1446.41521907,988.36,24.74,70.11
1451.42086196,988.34,24.74,70.13
1456.42395401,988.3,24.74,70.15
1461.42959499,988.33,24.73,70.17
1466.43526411,988.32,24.75,70.18
1471.44090199,988.4,24.74,70.17
1476.44655609,988.34,24.74,70.17
1481.45180202,988.36,24.75,70.18
1486.45739293,988.4,24.75,70.21
1491.46304297,988.37,24.74,70.29
1496.46869802,988.34,24.75,70.26
1501.47435904,988.38,24.75,70.25
1506.48001599,988.35,24.75,70.27
1511.48535609,988.32,24.74,70.29
1516.49086809,988.39,24.74,70.31
1521.49560404,988.27,24.74,70.31
1526.50119805,988.27,24.75,70.3
1531.50679612,988.32,24.75,70.3
1536.51208997,988.32,24.74,70.31
1541.51559401,988.38,24.74,70.32
1546.51960993,988.36,24.75,70.34
1551.52394509,988.35,24.74,70.34
1556.52957416,988.34,24.75,70.32
1561.53522015,988.38,24.75,70.31
1566.54000497,988.35,24.75,70.3
1571.54564404,988.3,24.76,70.31
1576.55128813,988.28,24.76,70.31
1581.55689692,988.31,24.76,70.29
1586.562536,988.42,24.76,70.28
1591.56820011,988.36,24.75,70.29
1596.57164311,988.38,24.76,70.26
1601.57724094,988.36,24.77,70.24
1606.57983708,988.35,24.76,70.16
1611.58403206,988.33,24.76,70.13
1616.5896771,988.31,24.75,70.09
1621.59200811,988.27,24.76,70.13
1626.59563398,988.33,24.77,988.2
1631.6000061,988.24,24.66,66.74
1636.60362005,988.22,24.66,66.66
1641.60782409,988.24,24.66,66.65
1646.61160398,988.22,24.66,66.65
1651.61600614,988.22,24.66,66.64
1656.62164807,988.21,24.66,66.59
1661.62726498,988.21,24.65,66.55
1666.63288307,988.25,24.64,66.52
1671.63562107,988.16,24.64,66.53
1676.64016795,988.21,24.65,66.55
1681.64504695,988.2,24.65,66.53
1686.64805198,988.25,24.66,66.52
1691.65335512,988.18,24.66,66.52
1696.65887904,988.21,24.67,66.52
1701.66011214,988.23,24.66,66.54
1706.66567206,988.24,24.67,66.52
1711.66800213,988.21,24.67,66.56
1716.67160606,988.22,24.66,66.5
1721.67591214,988.19,24.66,66.41
1726.68154192,988.22,24.67,66.37
1731.687181,988.2,24.66,66.27
1736.69166899,988.27,24.65,66.21
1741.69721913,988.34,24.63,66.2
1746.70285296,988.19,24.64,66.25
1751.70850706,988.23,24.64,66.32
1756.711761,988.26,24.64,66.37
1761.71556211,988.26,24.64,66.4
1766.72077703,988.23,24.64,66.44
1771.72635698,988.29,24.64,66.45
1776.73166609,988.21,24.65,66.47
1781.737216,988.25,24.66,66.47
1786.73967814,988.21,24.66,66.46
1791.74386406,988.22,24.67,66.49
1796.74945307,988.25,24.66,66.49
1801.75508904,988.26,24.66,66.52
1806.76008296,988.27,24.66,66.52
1811.76564312,988.27,24.67,66.53
1816.77127409,988.23,24.67,66.56
1821.77691698,988.23,24.68,66.56
1826.78255796,988.21,24.68,66.58
1831.78816915,988.19,24.69,66.63
1836.79190111,988.15,24.69,66.65
1841.79745102,988.2,24.69,66.67
1846.80308795,988.16,24.69,66.72
1851.80869913,988.18,24.69,66.85
1856.81434011,988.21,24.7,66.9
1861.82000804,988.2,24.69,66.93
1866.82564497,988.16,24.7,66.95
1871.82801199,988.27,24.71,66.95
1876.83163095,988.23,24.7,66.96
1881.83596301,988.2,24.7,66.98
1886.83994198,988.23,24.71,67.01
1891.84517407,988.23,24.7,67.03
1896.85081315,988.19,24.71,67.05
1901.85609102,988.23,24.71,67.07
1906.86169195,988.23,24.7,67.16
1911.86389399,988.19,24.7,67.2
1916.86954308,988.2,24.7,67.21
1921.87196898,988.28,24.71,67.22
1926.87596607,988.24,24.71,67.26
1931.87957406,988.23,24.7,67.27
1936.88328505,988.22,24.72,67.33
1941.88766193,988.25,24.72,67.33
1946.89327908,988.25,24.73,67.32
1951.89892101,988.27,24.73,67.31
1956.90388513,988.27,24.75,67.32
1961.9095161,988.29,24.75,67.32
1966.91201711,988.3,24.74,67.34
1971.91562104,988.27,24.74,67.42
1976.920012,988.27,24.74,67.49
1981.92356801,988.22,24.75,67.51
1986.92772794,988.26,24.74,67.64
1991.93167114,988.23,24.74,67.73
1996.93562698,988.23,24.75,67.77
2001.93715215,988.24,24.76,67.77
2006.94275403,988.25,24.75,67.76
2011.94764614,988.29,24.75,67.74
2016.95198011,988.29,24.74,67.77
2021.95760512,988.27,24.74,67.8
2026.96324801,988.22,24.74,67.83
2031.96890497,988.22,24.75,67.84
2036.972018,988.29,24.73,67.79
2041.97736502,988.29,24.74,67.78
2046.98297596,988.27,24.73,67.72
2051.98862195,988.31,24.73,67.73
2056.99428606,988.18,24.74,67.72
2061.99993515,988.27,24.73,67.72
2067.00472903,988.27,24.74,67.75
2072.007967,988.25,24.74,67.82
2077.01361012,988.26,24.74,67.83
2082.01925993,988.28,24.75,67.87
2087.0246141,988.24,24.76,67.86
2092.02762103,988.23,24.76,67.88
2097.03228593,988.23,24.76,67.89
2102.03601313,988.2,24.76,67.92
2107.03988194,988.18,24.76,67.95
2112.04519796,988.2,24.76,67.98
2117.04613495,988.18,24.77,67.97
2122.04802799,988.3,24.75,68
2127.05366898,988.24,24.76,68.02
2132.05598497,988.28,24.77,68.05
2137.06162906,988.3,24.77,68.04
2142.06361294,988.3,24.77,68.08
2147.06765604,988.24,24.76,68.1
2152.07159615,988.25,24.76,68.1
2157.07565308,988.25,24.76,68.14
2162.07968497,988.32,24.76,68.19
2167.08397913,988.25,24.77,68.19
2172.08791208,988.21,24.76,68.23
2177.09314203,988.29,24.77,68.27
2182.098387,988.24,24.76,68.33
2187.10393,988.2,24.78,68.35
2192.10957503,988.34,24.76,68.34
2197.11522603,988.26,24.76,68.35
2202.12088799,988.25,24.76,68.33
2207.12655306,988.23,24.76,68.33
2212.1321311,988.34,24.77,68.33
2217.13777614,988.3,24.77,68.33
2222.14346504,988.25,24.78,68.31
2227.1490531,988.29,24.78,68.31
2232.15191293,988.23,24.79,68.32
2237.15559411,988.33,24.79,68.3
2242.16116309,988.25,24.77,68.27
2247.16358805,988.33,24.78,68.27
2252.16918492,988.26,24.78,68.26
2257.17482615,988.26,24.77,68.27
2262.17997003,988.28,24.77,68.27
2267.1856091,988.27,24.78,68.26
2272.191257,988.26,24.78,68.26
2277.19690108,988.29,24.78,68.25
2282.19997811,988.2,24.78,68.25
2287.20560002,988.29,24.79,68.27
2292.21123195,988.3,24.78,68.26
2297.21585512,988.29,24.78,68.3
2302.221524,988.32,24.78,68.37
2307.22718215,988.23,24.78,68.43
2312.23283815,988.24,24.78,68.48
2317.23841095,988.26,24.78,68.48
2322.24359512,988.24,24.79,68.5
2327.24919605,988.36,24.79,68.49
2332.25485706,988.27,24.78,68.49
2337.26012993,988.27,24.79,68.48
2342.265733,988.28,24.79,68.46
2347.27139115,988.25,24.79,68.48
2352.27667904,988.17,24.79,68.45
2357.28227615,988.31,24.79,68.42
2362.28792906,988.31,24.8,68.39
2367.29354405,988.32,24.8,68.38
2372.2991991,988.37,24.79,68.36
2377.30484295,988.3,24.8,68.34
2382.31048894,988.33,24.8,68.33
2387.31614304,988.33,24.8,68.36
2392.32177615,988.37,24.79,68.38
2397.32741404,988.25,24.79,68.38
2402.33311415,988.31,24.8,68.37
2407.338732,988.29,24.8,68.37
2412.34435511,988.29,24.8,68.45
2417.34999609,988.21,24.79,68.48
2422.35558701,988.31,24.8,68.5
2427.35993195,988.26,24.8,68.5
2432.36516213,988.22,24.81,68.54
2437.36779809,988.25,24.81,68.56
2442.37189913,988.28,24.81,68.58
2447.37716913,988.28,24.79,68.6
2452.38002014,988.25,24.8,68.6
2457.38566208,988.26,24.8,68.62
2462.38825607,988.27,24.79,68.62
2467.39388704,988.2,24.79,68.64
2472.39592314,988.22,24.78,68.68
2477.39996195,988.21,24.79,68.68
2482.40396714,988.25,24.78,68.73
2487.40801501,988.23,24.78,68.76
2492.41126108,988.31,24.78,68.79
2497.41598701,988.32,24.78,68.81
2502.41995001,988.26,24.78,68.83
2507.42397308,988.24,24.78,68.81
2512.42796707,988.24,24.79,68.81
2517.43159413,988.27,24.78,68.83
2522.43558311,988.31,24.79,68.82
2527.44114494,988.3,24.79,68.82
2532.44675708,988.27,24.79,68.8
2537.45241308,988.3,24.79,68.78
2542.45806003,988.3,24.79,68.75
2547.45962715,988.28,24.79,68.76
2552.46484709,988.31,24.79,68.75
2557.46781611,988.25,24.8,68.76
2562.47343898,988.26,24.8,68.74
2567.47592115,988.26,24.81,68.73
2572.47998714,988.22,24.79,68.72
2577.48563194,988.23,24.79,68.72
2582.49127293,988.31,24.8,68.71
2587.496907,988.29,24.8,68.7
2592.50258803,988.27,24.8,68.71
2597.50823212,988.26,24.8,68.69
2602.51388907,988.24,24.8,68.71
2607.51957011,988.26,24.8,68.69
2612.52524996,988.26,24.81,68.67
2617.52793193,988.28,24.81,68.67
2622.53196001,988.22,24.81,68.67
2627.53761005,988.26,24.81,68.67
2632.54321694,988.31,24.8,68.7
2637.54885292,988.24,24.8,68.71
2642.5544951,988.27,24.81,68.71
2647.55969501,988.22,24.81,68.72
2652.56521511,988.28,24.81,68.72
2657.57041001,988.28,24.81,68.75
2662.57599306,988.29,24.8,68.77
2667.5804131,988.32,24.8,68.75
2672.58605194,988.26,24.8,68.74
2677.59158111,988.3,24.8,68.76
2682.59720206,988.27,24.81,68.76
2687.60284209,988.29,24.81,68.75
2692.60801315,988.28,24.81,68.76
2697.61365294,988.26,24.81,68.72
2702.61928296,988.23,24.82,68.73
2707.62491512,988.27,24.81,68.73
2712.63055611,988.23,24.83,68.72
2717.63619399,988.26,24.82,68.73
2722.64181995,988.24,24.83,68.72
2727.64748001,988.31,24.83,68.75
2732.65311909,988.28,24.82,68.81
2737.65874815,988.28,24.83,68.82
2742.66436815,988.37,24.83,68.82
2747.66963601,988.23,24.83,68.82
2752.67507195,988.26,24.84,68.82
2757.68075395,988.22,24.84,68.81
2762.686414,988.27,24.84,68.82
2767.69124913,988.3,24.84,68.82
2772.69689894,988.3,24.84,68.81
2777.70254111,988.28,24.85,68.81
2782.70568514,988.29,24.84,68.81
2787.7080121,988.28,24.84,68.78
2792.71365499,988.28,24.86,68.77
2797.71600914,988.28,24.84,68.83
2802.72191405,988.28,24.85,68.84
2807.72400403,988.32,24.85,68.88
2812.72800612,988.29,24.85,68.92
2817.73365808,988.3,24.85,68.97
2822.73926711,988.29,24.86,68.96
2827.74483895,988.28,24.87,68.96
2832.75047708,988.29,24.86,68.95
2837.75599313,988.25,24.86,68.94
2842.76163912,988.26,24.87,68.92
2847.76728892,988.27,24.86,68.96
2852.77189994,988.25,24.86,68.94
2857.77622008,988.26,24.87,68.94
2862.78014994,988.29,24.87,68.92
2867.78400397,988.34,24.83,66.18
2872.78816605,988.42,24.81,66.19
2877.79160213,988.37,24.82,66.18
2882.79560995,988.4,24.82,66.18
2887.79991293,988.41,24.82,66.16
2892.80384398,988.46,24.8,66.16
2897.80943513,988.38,24.8,66.15
2902.81507707,988.3,24.8,66.15
2907.81988597,988.35,24.81,66.12
2912.82539606,988.44,24.81,66.13
2917.82790494,988.39,24.81,66.1
2922.83354902,988.34,24.8,66.12
2927.83533001,988.43,24.79,66.11
2932.84098005,988.42,24.78,66.13
2937.84663105,988.34,24.77,66.15
2942.85227609,988.36,24.77,66.17
2947.85791707,988.38,24.76,66.17
2952.86329699,988.37,24.76,66.16
2957.86888909,988.32,24.76,66.18
2962.87451911,988.37,24.76,66.19
2967.87956309,988.33,24.77,66.19
2972.885144,988.38,24.77,66.23
2977.89078307,988.4,24.76,66.23
2982.89642,988.42,24.76,66.23
2987.9018271,988.47,24.76,66.23
2992.90708113,988.36,24.76,66.2
2997.91268015,988.4,24.76,66.18
3002.91833401,988.4,24.76,66.17
3007.91994596,988.45,24.76,66.16
3012.92064309,988.44,24.76,66.16
3017.92359304,988.39,24.76,66.16
3022.92923212,988.31,24.77,66.17
3027.93487096,988.44,24.77,66.13
3032.94050002,988.35,24.77,66.09
3037.94182301,988.32,24.77,66.04
3042.94742393,988.43,24.77,65.99
3047.95163202,988.43,24.76,65.99
3052.95713902,988.31,24.75,65.98
3057.96276712,988.38,24.77,65.96
3062.96840501,988.4,24.75,66
3067.97164798,988.33,24.74,66
3072.97725296,988.42,24.74,65.96
3077.97978306,988.33,24.74,65.96
3082.98359108,988.38,24.76,65.96
3087.98664498,988.33,24.76,65.96
3092.99221206,988.4,24.76,65.93
3097.995965,988.36,24.75,65.95
3103.00160098,988.35,24.75,65.93
3108.00444698,988.37,24.75,65.96
3113.00761199,988.35,24.75,65.94
3118.01196694,988.35,24.75,65.96
3123.01760602,988.37,24.75,65.95
3128.02326512,988.35,24.75,65.93
3133.02882195,988.38,24.74,65.9
3138.03446102,988.34,24.75,65.85
3143.04012799,988.33,24.75,65.79
3148.04366493,988.35,24.74,65.77
3153.04762101,988.36,24.74,65.75
3158.05184913,988.36,24.75,65.75
3163.05594897,988.32,24.76,65.75
3168.05996704,988.39,24.76,65.75
3173.06398416,988.42,24.76,65.74
3178.0696311,988.36,24.74,65.76
3183.07526398,988.33,24.75,65.73
3188.0801971,988.35,24.74,65.71
3193.08552694,988.38,24.73,65.7
3198.08762002,988.31,24.74,65.72
3203.09323096,988.33,24.74,65.72
3208.09886694,988.33,24.74,65.75
3213.10451007,988.38,24.74,65.79
3218.11008716,988.36,24.74,65.8
3223.11575508,988.36,24.74,65.79
3228.11955404,988.33,24.74,65.79
3233.12358308,988.36,24.75,65.83
3238.12758994,988.4,24.76,65.84
3243.13158393,988.36,24.76,65.8
3248.13717508,988.36,24.75,65.71
3253.13974214,988.35,24.76,65.7
3258.14394307,988.33,24.76,65.7
3263.14795208,988.37,24.77,65.69
3268.15359592,988.35,24.76,65.66
3273.15923095,988.37,24.77,65.65
3278.16393304,988.35,24.76,65.62
3283.16921997,988.36,24.76,65.61
3288.17188597,988.34,24.75,65.58
3293.17751813,988.33,24.76,65.55
3298.17963314,988.33,24.76,65.53
3303.18373203,988.31,24.76,65.49
3308.18759108,988.36,24.77,65.44
3313.19318295,988.35,24.76,65.43
3318.19609714,988.36,24.76,65.37
3323.19995093,988.37,24.74,65.33
3328.20399404,988.26,24.75,65.28
3333.20807409,988.37,24.74,65.23
3338.21374512,988.39,24.74,65.22
3343.21564698,988.39,24.74,65.24
3348.221174,988.39,24.74,65.25
3353.22366595,988.36,24.73,65.27
3358.22758603,988.32,24.75,65.26
3363.23277497,988.35,24.75,65.28
3368.23798513,988.33,24.74,65.22
3373.23958898,988.34,24.73,65.21
3378.24482107,988.31,24.74,65.23
3383.25002313,988.33,24.73,65.23
3388.25531006,988.34,24.74,65.23
3393.26061797,988.33,24.73,65.23
3398.26364112,988.32,24.71,65.29
3403.26921797,988.32,24.72,65.28
3408.27185893,988.33,24.71,65.3
3413.27748203,988.34,24.7,65.31
3418.28312016,988.34,24.71,65.29
3423.28765106,988.34,24.7,65.31
3428.29283905,988.33,24.69,65.29
3433.29842615,988.35,24.69,65.29
3438.30383897,988.37,24.69,65.26
3443.30893707,988.37,24.69,65.25
3448.31193209,988.28,24.68,65.2
3453.31598496,988.4,24.66,65.17
3458.31995201,988.32,24.66,65.15
3463.32361794,988.29,24.66,65.15
3468.32799315,988.32,24.67,65.15
3473.3337481,988.33,24.67,65.14
3478.33560896,988.28,24.68,65.2
3483.34012604,988.33,24.68,65.21
3488.34396005,988.35,24.68,65.19
3493.34799194,988.35,24.68,65.15
3498.35363603,988.32,24.68,65.15
3503.35928607,988.29,24.67,65.18
3508.36459804,988.34,24.67,65.22
3513.37016606,988.29,24.67,65.25
3518.37586999,988.33,24.68,65.27
3523.38002014,988.3,24.68,65.3
3528.38402009,988.27,24.66,65.31
3533.38767695,988.32,24.67,65.39
3538.39201903,988.33,24.67,65.4
3543.39601803,988.29,24.68,65.42
3548.40001202,988.38,24.68,65.44
3553.40402508,988.3,24.68,65.43
3558.40801907,988.33,24.66,65.52
3563.41198993,988.3,24.68,65.58
3568.4160111,988.3,24.69,65.55
3573.4200151,988.37,24.69,65.6
3578.42392802,988.37,24.68,65.66
3583.42923307,988.3,24.68,65.67
3588.43189096,988.35,24.68,65.72
3593.43572402,988.27,24.69,65.76
3598.44133711,988.31,24.68,65.78
3603.44722915,988.3,24.69,65.79
